Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1491944400.0 10021.0 NA 89 128 0 NA NA NA NA 181 180 0 NA NA NA NA 537 611 197 NA NA NA NA 644 718 215 NA NA NA
1491944400.0 10023.0 NA 87 130 0 NA NA NA NA 181 181 0 NA NA NA NA 519 425 231 NA NA NA NA 1039 713 256 NA NA NA
1491944400.0 10025.0 NA 88 129 0 NA NA NA NA 181 180 0 NA NA NA NA 613 437 227 NA NA NA NA 1304 523 257 NA NA NA
1491944400.0 1004.0 NA 177 132 0 0 0 0 NA 242 180 0 0 0 0 NA 497 180 7 48 307 335 NA 559 214 25 56 318 341
1491944400.0 10224.0 NA 127 202 0 NA NA NA NA 194 282 0 NA NA NA NA 2261 2084 223 NA NA NA NA 6793 7726 264 NA NA NA
1491944400.0 10225.0 NA 133 195 0 NA NA NA NA 195 283 0 NA NA NA NA 2807 2447 275 NA NA NA NA 9540 7404 310 NA NA NA
1491944400.0 108.0 56 88 195 NA NA NA NA 101 148 254 NA NA NA NA 3812 294 476 NA NA NA NA 3982 388 640 NA NA NA NA
1491944400.0 121.0 54 88 192 NA NA NA NA 100 148 254 NA NA NA NA 4152 267 414 NA NA NA NA 4307 283 493 NA NA NA NA
1491944400.0 126.0 46 75 189 NA NA NA NA 89 148 254 NA NA NA NA 898 286 356 NA NA NA NA 921 322 433 NA NA NA NA
1491944400.0 127.0 43 78 189 NA NA NA NA 85 148 254 NA NA NA NA 1119 288 359 NA NA NA NA 1147 315 461 NA NA NA NA
1491944400.0 13.0 NA 75 190 0 NA NA NA NA 151 254 0 NA NA NA NA 240 736 430 NA NA NA NA 295 771 459 NA NA NA
1491944400.0 1303.0 66 147 182 NA NA NA NA 111 198 239 NA NA NA NA 6599 698 1230 NA NA NA NA 6967 738 1287 NA NA NA NA
1491944400.0 131.0 45 78 188 NA NA NA NA 86 152 254 NA NA NA NA 1104 333 365 NA NA NA NA 1223 423 427 NA NA NA NA
1491944400.0 134.702 NA 45 227 0 NA NA NA NA 83 303 0 NA NA NA NA 127 4219 340 NA NA NA NA 157 4371 1009 NA NA NA
1491944400.0 134.704 NA 44 232 0 NA NA NA NA 83 298 0 NA NA NA NA 148 4433 361 NA NA NA NA 277 5382 387 NA NA NA
1491944400.0 134.709 NA 46 237 0 NA NA NA NA 86 313 0 NA NA NA NA 145 4504 363 NA NA NA NA 281 5417 389 NA NA NA
1491944400.0 134.803 NA 44 235 0 NA NA NA NA 87 308 0 NA NA NA NA 156 4830 322 NA NA NA NA 181 5421 339 NA NA NA
1491944400.0 134.806 NA 36 239 0 NA NA NA NA 85 315 0 NA NA NA NA 167 5709 322 NA NA NA NA 193 6176 340 NA NA NA
1491944400.0 134.807 NA 81 249 0 NA NA NA NA 147 325 0 NA NA NA NA 530 5299 351 NA NA NA NA 587 5522 372 NA NA NA
1491944400.0 134.808 NA 89 259 0 NA NA NA NA 146 333 0 NA NA NA NA 525 5595 324 NA NA NA NA 696 5960 354 NA NA NA
1491944400.0 134.901 NA 43 227 0 NA NA NA NA 84 299 0 NA NA NA NA 125 2875 309 NA NA NA NA 164 3054 339 NA NA NA
1491944400.0 134.904 NA 44 231 0 NA NA NA NA 86 301 0 NA NA NA NA 164 4742 359 NA NA NA NA 281 5643 407 NA NA NA
1491944400.0 134.908 NA 90 246 0 NA NA NA NA 149 315 0 NA NA NA NA 459 4294 380 NA NA NA NA 612 5124 393 NA NA NA
1491944400.0 134.99601 NA 44 234 0 NA NA NA NA 86 311 0 NA NA NA NA 166 5852 308 NA NA NA NA 203 6446 319 NA NA NA
1491944400.0 135.6 218 0 109 NA NA NA NA 299 0 161 NA NA NA NA 606 200 282 NA NA NA NA 1037 422 379 NA NA NA NA
1491944400.0 1356.0 66 156 250 0 111 NA NA 108 218 327 0 165 NA NA 7427 602 2672 1459 668 NA NA 7635 1257 5419 1506 1064 NA NA
1491944400.0 136.721 NA 170 246 0 NA NA NA NA 234 332 0 NA NA NA NA 3820 8073 857 NA NA NA NA 4586 10835 931 NA NA NA
1491944400.0 136.722 NA 168 263 0 NA NA NA NA 241 346 0 NA NA NA NA 4470 8951 946 NA NA NA NA 5238 11618 980 NA NA NA
