Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1491944400.0 10.0 NA 84 191 0 NA NA NA NA NA 242 409 0 NA NA NA NA NA 2199 2507 530 NA NA NA NA NA 2348 2742 574 NA NA NA NA
1491944400.0 1001.0 NA 196 165 0 0 0 0 0 NA 406 317 0 0 0 0 0 NA 2135 336 8 57 425 24 401 NA 2334 503 15 72 472 29 423
1491944400.0 10224.0 NA 205 350 0 NA NA NA NA NA 437 626 0 NA NA NA NA NA 3102 3501 1298 NA NA NA NA NA 16404 6334 2018 NA NA NA NA
1491944400.0 10824.0 56 168 268 82 0 NA NA NA 184 355 515 211 0 NA NA NA 6825 860 1389 196 1597 NA NA NA 7482 1056 2456 277 1704 NA NA NA
1491944400.0 10825.0 54 159 263 79 0 NA NA NA 183 354 515 200 0 NA NA NA 2731 430 1070 114 941 NA NA NA 2821 528 1742 271 1221 NA NA NA
1491944400.0 10826.0 57 171 270 80 0 NA NA NA 185 359 515 210 0 NA NA NA 12013 1268 2117 192 1573 NA NA NA 13229 1435 2337 274 1685 NA NA NA
1491944400.0 10842.0 59 155 262 82 0 NA NA NA 180 354 514 211 0 NA NA NA 1752 541 1370 211 1413 NA NA NA 2172 767 2039 376 1454 NA NA NA
1491944400.0 112.0 48 69 193 NA NA NA NA NA 179 229 402 NA NA NA NA NA 6303 234 295 NA NA NA NA NA 6599 254 312 NA NA NA NA NA
1491944400.0 114.0 49 71 193 NA NA NA NA NA 180 229 403 NA NA NA NA NA 6643 317 332 NA NA NA NA NA 7034 327 347 NA NA NA NA NA
1491944400.0 117.0 51 76 190 NA NA NA NA NA 181 229 404 NA NA NA NA NA 9824 512 921 NA NA NA NA NA 10243 648 1130 NA NA NA NA NA
1491944400.0 12.0 NA 81 189 0 NA NA NA NA NA 241 408 0 NA NA NA NA NA 2079 1727 354 NA NA NA NA NA 2270 1767 360 NA NA NA NA
1491944400.0 125.0 49 69 193 NA NA NA NA NA 180 229 402 NA NA NA NA NA 5534 232 294 NA NA NA NA NA 5817 278 309 NA NA NA NA NA
1491944400.0 1302.0 61 135 163 NA NA NA NA NA 186 349 356 NA NA NA NA NA 6646 822 626 NA NA NA NA NA 7275 1316 756 NA NA NA NA NA
1491944400.0 1303.0 58 141 164 NA NA NA NA NA 187 349 357 NA NA NA NA NA 5336 476 534 NA NA NA NA NA 5616 545 1334 NA NA NA NA NA
1491944400.0 1306.0 NA 154 243 0 NA NA NA NA NA 361 469 0 NA NA NA NA NA 508 392 672 NA NA NA NA NA 596 646 678 NA NA NA NA
1491944400.0 1312.0 NA 164 246 0 NA NA NA NA NA 362 476 0 NA NA NA NA NA 697 818 1349 NA NA NA NA NA 853 956 1454 NA NA NA NA
1491944400.0 1314.0 NA 165 244 0 NA NA NA NA NA 363 476 0 NA NA NA NA NA 614 770 1228 NA NA NA NA NA 703 946 1253 NA NA NA NA
1491944400.0 1315.0 NA 153 241 0 NA NA NA NA NA 361 470 0 NA NA NA NA NA 530 619 1212 NA NA NA NA NA 612 724 1325 NA NA NA NA
1491944400.0 1317.0 NA 154 242 0 NA NA NA NA NA 361 470 0 NA NA NA NA NA 543 635 1323 NA NA NA NA NA 633 764 1413 NA NA NA NA
1491944400.0 1321.0 NA 154 242 0 NA NA NA NA NA 361 470 0 NA NA NA NA NA 557 671 1049 NA NA NA NA NA 644 766 1061 NA NA NA NA
1491944400.0 1323.0 NA 152 241 0 NA NA NA NA NA 361 468 0 NA NA NA NA NA 522 477 706 NA NA NA NA NA 607 515 712 NA NA NA NA
1491944400.0 1326.0 NA 165 245 0 NA NA NA NA NA 365 476 0 NA NA NA NA NA 612 743 1234 NA NA NA NA NA 713 862 1297 NA NA NA NA
1491944400.0 1328.0 NA 167 247 0 NA NA NA NA NA 363 476 0 NA NA NA NA NA 710 863 1277 NA NA NA NA NA 853 998 1348 NA NA NA NA
1491944400.0 133.0 52 68 191 NA NA NA NA NA 182 229 406 NA NA NA NA NA 4296 274 481 NA NA NA NA NA 4415 368 613 NA NA NA NA NA
1491944400.0 1330.0 NA 164 244 0 NA NA NA NA NA 362 476 0 NA NA NA NA NA 604 809 1079 NA NA NA NA NA 713 1033 1093 NA NA NA NA
