Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1491944400.0 10024.0 NA 234 563 112 0 NA 479 725 166 0 NA 644 2964 174 1135 NA 436 2818 224 1306
1491944400.0 10024.2 NA 240 554 0 NA NA 481 722 0 NA NA 559 2651 989 NA NA 381 2476 1049 NA
1491944400.0 10024.4 NA 236 567 0 NA NA 481 715 0 NA NA 562 2588 942 NA NA 369 2318 949 NA
1491944400.0 10024.6 NA 240 558 0 NA NA 480 723 0 NA NA 575 2775 941 NA NA 412 2512 949 NA
1491944400.0 10025.0 NA 225 547 100 0 NA 480 713 155 0 NA 507 2528 121 921 NA 339 2551 150 930
1491944400.0 10026.0 NA 233 565 110 0 NA 478 729 165 0 NA 737 3078 164 1089 NA 502 2634 177 1101
1491944400.0 10042.0 NA 228 548 103 0 NA 480 722 167 0 NA 549 2631 158 1079 NA 358 2409 195 1097
1491944400.0 10224.0 NA 337 812 0 NA NA 541 1036 0 NA NA 3436 6186 1136 NA NA 15724 5523 1154 NA
1491944400.0 10225.0 NA 344 826 0 NA NA 530 1018 0 NA NA 2881 5050 1087 NA NA 5515 3883 1097 NA
1491944400.0 10424.0 NA 237 552 0 NA NA 480 701 0 NA NA 543 2729 939 NA NA 623 2505 1067 NA
1491944400.0 10824.0 74 225 573 112 0 146 522 717 166 0 4285 617 2801 146 1022 1693 344 2838 178 1030
1491944400.0 10825.0 72 225 560 99 0 140 472 712 155 0 2914 565 2665 137 1009 1328 501 2749 336 1024
1491944400.0 10842.0 57 221 537 103 0 122 471 706 166 0 933 399 2575 164 946 714 458 3057 183 965
1491944400.0 1302.0 100 196 199 NA NA 177 463 311 NA NA 4344 723 486 NA NA 1585 418 325 NA NA
1491944400.0 1303.0 88 190 189 NA NA 168 463 317 NA NA 13365 975 1167 NA NA 4631 515 606 NA NA
1491944400.0 1306.0 NA 201 490 0 NA NA 478 607 0 NA NA 659 870 1023 NA NA 361 729 1031 NA
1491944400.0 1309.0 NA 232 517 0 NA NA 477 629 0 NA NA 920 1530 1212 NA NA 482 956 1221 NA
1491944400.0 1310.0 NA 219 511 0 NA NA 479 611 0 NA NA 692 1150 1202 NA NA 396 816 1213 NA
1491944400.0 1311.0 NA 205 503 0 65 NA 481 610 0 124 NA 789 1015 1229 67 NA 483 884 1234 95
1491944400.0 1312.0 NA 217 502 0 NA NA 479 621 0 NA NA 843 1410 1026 NA NA 480 1041 1031 NA
1491944400.0 1313.0 NA 229 502 0 NA NA 478 628 0 NA NA 1018 1820 1217 NA NA 527 1007 1223 NA
1491944400.0 1314.0 NA 217 500 0 NA NA 476 621 0 NA NA 685 1142 1131 NA NA 395 827 1139 NA
1491944400.0 1316.0 NA 208 501 0 NA NA 478 595 0 NA NA 666 1238 1189 NA NA 399 988 1198 NA
1491944400.0 1317.0 NA 218 496 0 NA NA 476 610 0 NA NA 422 598 688 NA NA 286 499 694 NA
1491944400.0 1318.0 NA 206 503 0 NA NA 475 602 0 NA NA 384 575 670 NA NA 255 616 685 NA
1491944400.0 1319.0 NA 204 487 0 NA NA 475 614 0 NA NA 599 1129 1197 NA NA 362 924 1209 NA
1491944400.0 1320.0 NA 206 491 0 NA NA 477 607 0 NA NA 648 1197 1152 NA NA 384 962 1160 NA
1491944400.0 1321.0 NA 203 497 0 NA NA 475 607 0 NA NA 751 1072 1039 NA NA 433 808 1045 NA
1491944400.0 1322.0 NA 205 492 0 NA NA 476 611 0 NA NA 860 991 1038 NA NA 494 767 1047 NA
1491944400.0 1323.0 NA 200 492 0 NA NA 477 606 0 NA NA 586 1010 1315 NA NA 356 837 1331 NA
1491944400.0 1324.0 NA 219 501 0 NA NA 478 624 0 NA NA 752 1184 1167 NA NA 409 833 1173 NA
1491944400.0 1325.0 NA 222 515 0 79 NA 477 616 0 143 NA 1024 1427 1051 130 NA 538 973 1057 157
1491944400.0 1325.2 NA 232 508 0 NA NA 477 627 0 NA NA 1053 1396 1225 NA NA 624 911 1229 NA
1491944400.0 1325.4 NA 223 513 0 NA NA 477 631 0 NA NA 885 1610 1125 NA NA 459 1096 1132 NA
1491944400.0 1326.0 NA 214 510 0 NA NA 475 609 0 NA NA 763 1220 1094 NA NA 435 919 1103 NA
1491944400.0 1327.0 NA 211 506 0 NA NA 478 613 0 NA NA 702 992 1068 NA NA 402 762 1076 NA
1491944400.0 1328.0 NA 231 505 0 NA NA 477 636 0 NA NA 791 1179 1124 NA NA 426 808 1130 NA
1491944400.0 1329.0 NA 217 505 0 NA NA 477 615 0 NA NA 678 1222 1062 NA NA 367 937 1069 NA
1491944400.0 133.0 90 97 372 NA NA 194 362 497 NA NA 9749 625 826 NA NA 3101 266 553 NA NA
1491944400.0 1330.0 NA 224 505 0 NA NA 478 616 0 NA NA 936 1198 1126 NA NA 595 837 1132 NA
1491944400.0 1331.0 NA 212 498 0 NA NA 480 617 0 NA NA 693 1220 1092 NA NA 383 965 1099 NA
1491944400.0 1332.0 NA 222 507 0 NA NA 479 612 0 NA NA 736 1102 1214 NA NA 401 814 1219 NA
1491944400.0 1333.0 NA 210 503 0 NA NA 476 619 0 NA NA 865 1244 1312 NA NA 497 970 1344 NA
1491944400.0 1334.0 NA 217 503 0 NA NA 478 619 0 NA NA 702 1286 1101 NA NA 396 995 1107 NA
1491944400.0 1335.0 NA 212 502 0 NA NA 477 616 0 NA NA 771 1228 1072 NA NA 426 948 1078 NA
1491944400.0 1336.0 NA 228 515 0 NA NA 478 634 0 NA NA 1253 3248 1125 NA NA 567 1539 1131 NA
1491944400.0 1337.0 NA 235 526 0 NA NA 478 631 0 NA NA 1157 1730 1248 NA NA 521 997 1258 NA
1491944400.0 1338.0 NA 222 512 0 NA NA 476 622 0 NA NA 833 1273 1102 NA NA 436 827 1109 NA
1491944400.0 1339.0 NA 237 517 0 NA NA 481 639 0 NA NA 1346 1740 1107 NA NA 783 977 1112 NA
1491944400.0 134.704 NA 37 405 0 NA NA 105 507 0 NA NA 102 3914 309 NA NA 59 1352 315 NA
1491944400.0 134.705 NA 38 423 0 NA NA 103 541 0 NA NA 124 6935 518 NA NA 65 2310 523 NA
1491944400.0 134.803 NA 33 412 0 NA NA 103 512 0 NA NA 149 8470 541 NA NA 81 2659 546 NA
1491944400.0 134.804 NA 38 419 0 NA NA 102 523 0 NA NA 190 8107 416 NA NA 135 2531 422 NA
1491944400.0 134.805 NA 35 418 0 NA NA 108 528 0 NA NA 130 5296 322 NA NA 81 1695 327 NA
1491944400.0 134.806 NA 33 417 0 NA NA 105 528 0 NA NA 191 9785 484 NA NA 123 2987 493 NA
1491944400.0 134.807 NA 88 443 0 NA NA 209 588 0 NA NA 1416 8764 532 NA NA 1070 2881 539 NA
1491944400.0 134.808 NA 89 454 0 NA NA 212 595 0 NA NA 707 9431 520 NA NA 722 3038 524 NA
1491944400.0 134.81 NA 35 408 0 NA NA 104 526 0 NA NA 116 4789 321 NA NA 60 1758 325 NA
1491944400.0 134.811 NA 39 420 0 NA NA 107 520 0 NA NA 196 9601 476 NA NA 107 3012 481 NA
