Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1491944400.0 1001.0 NA 375 195 0 0 0 0 0 NA 475 248 0 0 0 0 0 NA 1638 275 5 20 234 37 271 NA 722 230 11 25 238 25 257
1491944400.0 10023.0 NA 210 524 93 0 NA NA NA NA 469 694 140 0 NA NA NA NA 545 3192 173 1341 NA NA NA NA 573 4268 213 1353 NA NA NA
1491944400.0 10024.0 NA 228 567 111 0 NA NA NA NA 476 705 149 0 NA NA NA NA 815 3618 219 1525 NA NA NA NA 594 3375 245 1538 NA NA NA
1491944400.0 10024.2 NA 224 514 0 NA NA NA NA NA 474 700 0 NA NA NA NA NA 1120 4379 1665 NA NA NA NA NA 750 4514 1680 NA NA NA NA
1491944400.0 10024.4 NA 237 520 0 NA NA NA NA NA 474 706 0 NA NA NA NA NA 773 3634 1371 NA NA NA NA NA 828 4728 1400 NA NA NA NA
1491944400.0 10024.6 NA 226 563 0 NA NA NA NA NA 475 709 0 NA NA NA NA NA 809 3508 1452 NA NA NA NA NA 534 3214 1475 NA NA NA NA
1491944400.0 10025.0 NA 224 543 92 0 NA NA NA NA 475 683 140 0 NA NA NA NA 610 3233 173 1329 NA NA NA NA 401 3748 204 1337 NA NA NA
1491944400.0 10026.0 NA 234 571 111 0 NA NA NA NA 467 708 150 0 NA NA NA NA 1000 3950 224 1494 NA NA NA NA 555 3367 236 1507 NA NA NA
1491944400.0 10042.0 NA 218 554 107 0 NA NA NA NA 472 696 150 0 NA NA NA NA 765 3369 224 1434 NA NA NA NA 553 3156 238 1445 NA NA NA
1491944400.0 10224.0 NA 308 774 0 NA NA NA NA NA 539 1005 0 NA NA NA NA NA 4267 6227 1464 NA NA NA NA NA 5108 6393 1618 NA NA NA NA
1491944400.0 10225.0 NA 311 757 0 NA NA NA NA NA 511 948 0 NA NA NA NA NA 3198 6188 1432 NA NA NA NA NA 2392 5348 1462 NA NA NA NA
1491944400.0 10424.0 NA 221 565 0 NA NA NA NA NA 481 700 0 NA NA NA NA NA 879 3989 1744 NA NA NA NA NA 548 3710 1879 NA NA NA NA
1491944400.0 108.0 86 95 381 NA NA NA NA NA 164 358 467 NA NA NA NA NA 8578 602 1056 NA NA NA NA NA 3101 288 791 NA NA NA NA NA
1491944400.0 10823.0 73 208 537 100 0 NA NA NA 120 473 704 138 0 NA NA NA 1871 625 3307 170 1417 NA NA NA 1158 404 3186 185 1425 NA NA NA
1491944400.0 10824.0 80 243 555 102 0 NA NA NA 131 465 685 150 0 NA NA NA 6143 870 3603 209 1502 NA NA NA 2729 474 4355 247 1559 NA NA NA
1491944400.0 10825.0 73 222 552 101 0 NA NA NA 126 466 707 139 0 NA NA NA 4757 747 3542 192 1521 NA NA NA 1966 438 3536 234 1536 NA NA NA
1491944400.0 10826.0 81 234 570 103 0 NA NA NA 133 467 714 149 0 NA NA NA 10099 887 3326 185 1132 NA NA NA 3817 435 2753 226 1154 NA NA NA
1491944400.0 10842.0 60 202 549 110 0 NA NA NA 108 473 678 148 0 NA NA NA 1702 489 3071 224 1467 NA NA NA 973 392 3143 252 1477 NA NA NA
