Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1491944400.0 115.0 57 90 NA NA 98 125 NA NA 7007 472 NA NA 7260 502 NA NA
1491944400.0 1319.0 NA 174 276 0 NA 231 311 0 NA 712 919 1701 NA 951 1066 1732
1491944400.0 1323.0 NA 172 274 0 NA 231 309 0 NA 675 819 1689 NA 911 960 1731
1491944400.0 1329.0 NA 188 276 0 NA 231 317 0 NA 840 1089 1809 NA 1070 1181 1841
1491944400.0 1351.0 NA 188 279 0 NA 232 316 0 NA 828 1051 1796 NA 1080 1144 1830
1491944400.0 1352.0 NA 187 278 0 NA 231 316 0 NA 820 1055 1821 NA 1048 1180 1858
1491944400.0 136.723 NA 176 NA NA NA 232 NA NA NA 5835 NA NA NA 6316 NA NA
1491944400.0 25400.0 247 0 107 NA 334 0 142 NA 6656 386 385 NA 7579 398 501 NA
1491944400.0 4.27 NA 77 233 0 NA 103 289 0 NA 156 4843 823 NA 195 5030 840
1491944400.0 4.57 NA 61 NA NA NA 99 NA NA NA 213 NA NA NA 244 NA NA
