Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1491987600.0 1001.0 NA 214 NA NA NA NA 263 NA NA NA NA 3013 NA NA NA NA 3166 NA NA NA
1491987600.0 1003.0 NA 185 0 NA NA NA 249 0 NA NA NA 5058 609 NA NA NA 5321 675 NA NA
1491987600.0 105.0 54 67 28 NA NA 96 125 57 NA NA 3065 476 7 NA NA 3505 488 15 NA NA
1491987600.0 110.0 50 78 190 NA NA 87 124 249 NA NA 979 462 700 NA NA 1150 557 726 NA NA
1491987600.0 111.0 56 77 208 NA NA 97 125 251 NA NA 3238 335 650 NA NA 3416 370 697 NA NA
1491987600.0 128.0 46 74 NA NA NA 81 124 NA NA NA 731 421 NA NA NA 785 544 NA NA NA
1491987600.0 129.0 48 79 189 NA NA 82 124 249 NA NA 776 437 682 NA NA 937 560 707 NA NA
1491987600.0 130.0 48 71 NA NA NA 87 124 NA NA NA 942 428 NA NA NA 1193 488 NA NA NA
1491987600.0 135.4 194 0 97 NA NA 260 0 141 NA NA 1048 344 290 NA NA 1320 356 341 NA NA
1491987600.0 135.9 193 0 97 NA NA 259 0 141 NA NA 876 316 268 NA NA 1141 328 498 NA NA
1491987600.0 1361.0 0 NA NA NA NA 0 NA NA NA NA 22 NA NA NA NA 62 NA NA NA NA
1491987600.0 1362.0 0 NA NA NA NA 0 NA NA NA NA 30 NA NA NA NA 77 NA NA NA NA
1491987600.0 1363.0 0 NA NA NA NA 0 NA NA NA NA 48 NA NA NA NA 77 NA NA NA NA
1491987600.0 140.2 NA 91 192 0 NA NA 183 255 0 NA NA 318 642 401 NA NA 860 697 410 NA
1491987600.0 140.4 NA 100 191 0 NA NA 183 255 0 NA NA 340 657 402 NA NA 528 709 412 NA
1491987600.0 140.54 NA 194 0 NA NA NA 274 0 NA NA NA 1412 462 NA NA NA 1490 496 NA NA
1491987600.0 250399.0 119 NA NA NA NA 189 NA NA NA NA 1298 NA NA NA NA 1434 NA NA NA NA
1491987600.0 25211.0 0 NA NA NA NA 0 NA NA NA NA 21 NA NA NA NA 62 NA NA NA NA
1491987600.0 25212.0 0 NA NA NA NA 0 NA NA NA NA 17 NA NA NA NA 68 NA NA NA NA
1491987600.0 25213.0 0 NA NA NA NA 0 NA NA NA NA 25 NA NA NA NA 72 NA NA NA NA
1491987600.0 4.22 NA 133 57 58 0 NA 201 95 111 0 NA 1110 123 184 259 NA 1270 137 208 269
1491987600.0 50205.0 NA 109 NA NA NA NA 173 NA NA NA NA 1856 NA NA NA NA 2202 NA NA NA
1491987600.0 512.0 0 NA NA NA NA 0 NA NA NA NA 900 NA NA NA NA 3081 NA NA NA NA
1491987600.0 518.0 0 NA NA NA NA 0 NA NA NA NA 883 NA NA NA NA 2907 NA NA NA NA
1491987600.0 529.0 0 NA NA NA NA 0 NA NA NA NA 896 NA NA NA NA 3024 NA NA NA NA
1491987600.0 7.0 43 67 107 57 0 80 124 172 83 0 1008 370 428 70 231 1025 388 443 82 240
1491987600.0 8.0 NA 85 106 50 NA NA 140 174 78 NA NA 2278 684 36 NA NA 2673 703 50 NA
