Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1491944400.0 10224.0 NA 125 199 0 NA 194 278 0 NA 1981 1801 248 NA 5841 5457 269
1491944400.0 108.0 54 87 191 NA 101 149 254 NA 4247 337 456 NA 4326 355 484 NA
1491944400.0 109.0 56 80 194 NA 101 149 254 NA 4716 323 449 NA 4766 340 472 NA
1491944400.0 125.0 58 77 189 NA 101 149 254 NA 4008 307 401 NA 4087 326 435 NA
1491944400.0 1303.0 66 148 185 NA 111 199 240 NA 6778 562 1116 NA 7076 667 1151 NA
1491944400.0 134.701 NA 45 238 0 NA 85 307 0 NA 137 3589 369 NA 174 3888 379
1491944400.0 134.705 NA 47 236 0 NA 87 315 0 NA 141 5046 422 NA 174 5346 433
1491944400.0 134.708 NA 45 233 0 NA 84 299 0 NA 148 4476 362 NA 197 4771 370
1491944400.0 134.806 NA 41 239 0 NA 85 316 0 NA 169 6378 354 NA 331 6566 362
1491944400.0 134.99601 NA 41 236 0 NA 86 307 0 NA 170 6224 358 NA 333 6365 387
1491944400.0 136.721 NA 161 254 0 NA 235 329 0 NA 2473 6229 654 NA 2870 6350 665
1491944400.0 136.724 NA 173 263 0 NA 241 335 0 NA 7260 12901 1082 NA 8222 14173 1113
1491944400.0 136.726 NA 162 248 0 NA 235 336 0 NA 5703 13506 1228 NA 5851 18194 1306
1491944400.0 136.727 NA 185 256 0 NA 289 342 0 NA 5267 12289 1097 NA 5430 16527 1110
1491944400.0 136.728 NA 190 258 0 NA 285 349 0 NA 5586 13603 1153 NA 5809 18609 1223
1491944400.0 136.729 NA 165 246 0 NA 232 331 0 NA 4968 12933 1074 NA 5324 17581 1102
1491944400.0 136.731 NA 165 245 0 NA 241 336 0 NA 5578 12989 1140 NA 5712 17236 1155
1491944400.0 1360.0 67 166 254 0 158 222 316 0 3610 410 892 1056 5357 469 1041 1068
1491944400.0 1363.0 63 156 249 0 158 218 315 0 4470 465 888 1048 6784 583 935 1061
1491944400.0 13992501.0 NA 199 322 0 NA 282 413 0 NA 4326 6066 2039 NA 8646 9406 4096
1491944400.0 250202.0 NA 239 286 0 NA 361 365 0 NA 19916 4755 2057 NA 22044 5023 2150
1491944400.0 250402.0 230 0 113 NA 317 0 159 NA 1199 211 413 NA 1604 224 470 NA
1491944400.0 25202.0 NA 207 332 0 NA 280 418 0 NA 4160 5748 1989 NA 4884 6290 2292
1491944400.0 25210.0 68 209 291 0 158 286 402 0 7220 3147 4671 2023 10541 4123 10324 2047
1491944400.0 25211.0 66 207 339 0 158 285 415 0 6452 3705 5003 2038 9374 7069 8443 2230
1491944400.0 25212.0 62 202 297 0 158 284 413 0 6474 3794 5134 1957 9835 5092 9173 1986
1491944400.0 25213.0 64 216 325 0 158 285 410 0 8587 3564 4945 1967 13103 7041 7992 1998
1491944400.0 4.65 NA 36 237 0 NA 78 309 0 NA 149 8003 352 NA 291 8139 368
1491944400.0 4.71 NA 41 231 0 NA 79 295 0 NA 133 3746 354 NA 170 3847 364
1491944400.0 512.0 15 36 0 NA 132 65 0 NA 28 49 18 NA 25776 58 30 NA
1491944400.0 522.0 15 36 0 NA 132 66 0 NA 13 81 17 NA 25801 86 31 NA
1491944400.0 526.0 15 36 0 NA 132 66 0 NA 21 68 17 NA 25776 74 31 NA
1491944400.0 529.0 15 36 0 NA 132 66 0 NA 15 80 18 NA 25775 85 30 NA
