Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1491944400.0 10023.0 NA 203 538 91 0 NA 474 708 153 0 NA 447 2354 134 843 NA 393 2278 165 851
1491944400.0 10024.0 NA 232 467 103 0 NA 479 711 163 0 NA 614 2861 156 877 NA 563 2655 339 893
1491944400.0 10024.2 NA 235 551 0 NA NA 473 714 0 NA NA 581 2687 912 NA NA 617 2435 920 NA
1491944400.0 10024.6 NA 225 529 0 NA NA 476 705 0 NA NA 571 2756 881 NA NA 380 2807 889 NA
1491944400.0 10025.0 NA 216 366 97 0 NA 477 672 153 0 NA 479 2549 129 870 NA 306 2991 164 878
1491944400.0 10026.0 NA 227 557 111 0 NA 474 724 163 0 NA 667 2855 151 940 NA 355 2516 178 953
1491944400.0 10042.0 NA 217 530 111 0 NA 477 697 164 0 NA 501 2391 154 866 NA 349 2280 184 873
1491944400.0 10224.0 NA 296 761 0 NA NA 517 1013 0 NA NA 4920 5697 1026 NA NA 9249 4927 1048 NA
1491944400.0 10225.0 NA 303 565 0 NA NA 510 1005 0 NA NA 3553 5046 996 NA NA 10319 4592 1006 NA
1491944400.0 10424.0 NA 219 376 0 NA NA 474 710 0 NA NA 561 2795 941 NA NA 382 2952 960 NA
1491944400.0 10823.0 65 193 540 100 0 130 469 697 153 0 1270 450 2395 124 913 931 296 2346 137 922
1491944400.0 10824.0 74 232 558 102 0 141 468 722 164 0 4221 690 2762 151 1014 1533 398 2533 191 1044
1491944400.0 10842.0 58 194 539 102 0 120 460 696 163 0 1139 358 2356 140 868 675 268 2286 160 926
1491944400.0 1303.0 85 187 195 NA NA 154 463 302 NA NA 6674 561 604 NA NA 2405 337 384 NA NA
1491944400.0 1309.0 NA 228 451 0 NA NA 472 618 0 NA NA 614 1196 907 NA NA 364 1348 914 NA
1491944400.0 1310.0 NA 216 463 0 NA NA 472 614 0 NA NA 574 972 886 NA NA 393 1215 897 NA
1491944400.0 1314.0 NA 212 452 0 NA NA 475 614 0 NA NA 554 996 870 NA NA 389 1252 880 NA
1491944400.0 1315.0 NA 198 451 0 NA NA 469 597 0 NA NA 485 817 804 NA NA 342 1082 827 NA
1491944400.0 1325.4 NA 221 425 0 NA NA 471 614 0 NA NA 636 1174 891 NA NA 574 1465 897 NA
1491944400.0 1328.0 NA 216 465 0 NA NA 472 620 0 NA NA 538 1035 886 NA NA 362 1224 898 NA
1491944400.0 1329.0 NA 213 462 0 NA NA 471 601 0 NA NA 525 920 860 NA NA 378 1166 869 NA
1491944400.0 1332.0 NA 215 456 0 NA NA 474 606 0 NA NA 523 916 881 NA NA 346 1144 891 NA
1491944400.0 1338.0 NA 223 457 0 NA NA 472 611 0 NA NA 614 1178 892 NA NA 403 1330 898 NA
1491944400.0 1340.0 NA 201 418 0 NA NA 472 597 0 NA NA 471 892 836 NA NA 505 1335 845 NA
1491944400.0 1343.0 NA 222 421 0 NA NA 475 603 0 NA NA 595 1188 890 NA NA 543 1459 895 NA
1491944400.0 1350.0 NA 213 446 0 NA NA 473 608 0 NA NA 517 972 867 NA NA 339 1209 879 NA
1491944400.0 1351.0 NA 213 452 0 NA NA 472 607 0 NA NA 526 890 848 NA NA 376 1220 860 NA
1491944400.0 1353.0 NA 212 452 0 NA NA 466 601 0 NA NA 597 998 865 NA NA 396 1218 877 NA
1491944400.0 136.721 NA 201 439 0 NA NA 311 536 0 NA NA 2183 5266 458 NA NA 742 2163 465 NA
1491944400.0 136.722 NA 202 458 0 NA NA 317 558 0 NA NA 2669 6401 488 NA NA 890 2385 496 NA
1491944400.0 136.723 NA 203 440 0 NA NA 305 533 0 NA NA 2281 5487 451 NA NA 769 1815 458 NA
1491944400.0 136.724 NA 201 452 0 NA NA 321 548 0 NA NA 3253 6879 457 NA NA 1028 2321 469 NA
1491944400.0 136.725 NA 196 450 0 NA NA 318 567 0 NA NA 2510 6125 459 NA NA 1071 1973 470 NA
1491944400.0 136.726 NA 203 447 0 NA NA 315 543 0 NA NA 2832 6225 433 NA NA 1151 2026 439 NA
1491944400.0 136.727 NA 243 462 0 NA NA 361 581 0 NA NA 7776 6302 497 NA NA 7305 2149 505 NA
1491944400.0 136.728 NA 232 476 0 NA NA 359 572 0 NA NA 3167 6648 469 NA NA 1396 2122 476 NA
1491944400.0 136.729 NA 200 442 0 NA NA 315 547 0 NA NA 2414 6073 456 NA NA 860 1998 462 NA
1491944400.0 136.73 NA 207 474 0 NA NA 315 572 0 NA NA 2600 6306 461 NA NA 882 2261 468 NA
1491944400.0 136.731 NA 197 443 0 NA NA 312 545 0 NA NA 2774 6161 474 NA NA 912 2002 482 NA
1491944400.0 136.732 NA 194 437 0 NA NA 305 533 0 NA NA 1748 4760 453 NA NA 684 1645 464 NA
1491944400.0 136.7321 NA 196 468 0 NA NA 308 565 0 NA NA 1700 5056 461 NA NA 686 1860 467 NA
1491944400.0 136.737 NA 207 477 0 NA NA 338 603 0 NA NA 4839 10674 447 NA NA 1597 3754 459 NA
1491944400.0 136.738 NA 203 462 0 NA NA 331 571 0 NA NA 4441 10278 443 NA NA 1450 3212 450 NA
1491944400.0 136.739 NA 213 461 0 NA NA 337 582 0 NA NA 6207 12398 480 NA NA 1740 3782 638 NA
1491944400.0 136.74 NA 212 486 0 NA NA 337 604 0 NA NA 5027 10469 432 NA NA 1552 3134 438 NA
1491944400.0 136.742 NA 204 456 0 NA NA 324 564 0 NA NA 3882 9717 425 NA NA 1193 2941 434 NA
1491944400.0 136.744 NA 211 458 0 NA NA 335 577 0 NA NA 5265 10664 484 NA NA 1621 3134 492 NA
