Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1491944400.0 1.0 78 89 132 NA NA NA NA 154 364 210 NA NA NA NA 2185 328 246 NA NA NA NA 989 167 227 NA NA NA NA
1491944400.0 1002.0 NA 355 67 NA NA NA NA NA 441 109 NA NA NA NA NA 2049 123 NA NA NA NA NA 874 90 NA NA NA NA
1491944400.0 10023.0 NA 205 549 90 0 NA NA NA 477 694 138 0 NA NA NA 753 2704 187 1603 NA NA NA 723 2672 225 1752 NA NA
1491944400.0 10024.0 NA 231 561 109 0 NA NA NA 479 709 150 0 NA NA NA 1003 3228 230 1560 NA NA NA 814 3049 262 1672 NA NA
1491944400.0 10024.2 NA 232 379 0 NA NA NA NA 482 678 0 NA NA NA NA 665 2864 1205 NA NA NA NA 451 2947 1212 NA NA NA
1491944400.0 10024.4 NA 236 567 0 NA NA NA NA 474 715 0 NA NA NA NA 645 2740 1220 NA NA NA NA 579 2451 1226 NA NA NA
1491944400.0 10025.0 NA 221 554 100 0 NA NA NA 475 706 141 0 NA NA NA 501 2366 154 1173 NA NA NA 551 2223 188 1186 NA NA
1491944400.0 10026.0 NA 241 373 102 0 NA NA NA 475 685 150 0 NA NA NA 765 3350 183 1230 NA NA NA 436 4317 239 1253 NA NA
1491944400.0 1003.0 NA 287 0 NA NA NA NA NA 393 0 NA NA NA NA NA 2968 269 NA NA NA NA NA 1094 277 NA NA NA NA
1491944400.0 1004.0 NA 366 133 0 0 0 0 NA 463 185 0 0 0 0 NA 589 103 5 21 303 214 NA 451 120 10 25 310 219
1491944400.0 10042.0 NA 212 528 111 0 NA NA NA 475 702 150 0 NA NA NA 518 2505 166 1219 NA NA NA 393 2704 207 1233 NA NA
1491944400.0 101.0 85 NA NA NA NA NA NA 150 NA NA NA NA NA NA 904 NA NA NA NA NA NA 921 NA NA NA NA NA NA
